time_utc,time_berlin,open,high,low,close,volume
2025-04-01 00:00:00+00:00,2025-04-01 02:00:00+02:00,3145.815,3145.975,3145.625,3145.675,0.0
2025-04-01 00:01:00+00:00,2025-04-01 02:01:00+02:00,3145.625,3146.275,3145.588,3146.148,0.0
2025-04-01 00:02:00+00:00,2025-04-01 02:02:00+02:00,3146.175,3146.255,3145.948,3146.185,0.0
2025-04-01 00:03:00+00:00,2025-04-01 02:03:00+02:00,3146.148,3146.275,3145.648,3145.648,0.0
2025-04-01 00:04:00+00:00,2025-04-01 02:04:00+02:00,3145.648,3145.785,3144.705,3145.195,0.0
2025-04-01 00:05:00+00:00,2025-04-01 02:05:00+02:00,3145.175,3145.835,3145.175,3145.835,0.0
2025-04-01 00:06:00+00:00,2025-04-01 02:06:00+02:00,3145.835,3146.125,3145.685,3145.705,0.0
2025-04-01 00:07:00+00:00,2025-04-01 02:07:00+02:00,3145.795,3146.888,3144.285,3146.685,0.0
2025-04-01 00:08:00+00:00,2025-04-01 02:08:00+02:00,3146.685,3147.045,3145.825,3146.515,0.0
2025-04-01 00:09:00+00:00,2025-04-01 02:09:00+02:00,3146.555,3146.595,3145.815,3146.335,0.0
2025-04-01 00:10:00+00:00,2025-04-01 02:10:00+02:00,3146.335,3147.435,3146.265,3147.375,0.0
2025-04-01 00:11:00+00:00,2025-04-01 02:11:00+02:00,3147.325,3147.725,3147.325,3147.545,0.0
2025-04-01 00:12:00+00:00,2025-04-01 02:12:00+02:00,3147.545,3147.615,3147.115,3147.135,0.0
2025-04-01 00:13:00+00:00,2025-04-01 02:13:00+02:00,3147.065,3147.145,3146.185,3146.265,0.0
2025-04-01 00:14:00+00:00,2025-04-01 02:14:00+02:00,3146.175,3146.545,3146.115,3146.305,0.0
2025-04-01 00:15:00+00:00,2025-04-01 02:15:00+02:00,3146.305,3146.365,3145.305,3145.525,0.0
2025-04-01 00:16:00+00:00,2025-04-01 02:16:00+02:00,3145.555,3145.795,3145.365,3145.745,0.0
2025-04-01 00:17:00+00:00,2025-04-01 02:17:00+02:00,3145.745,3145.945,3144.985,3144.985,0.0
2025-04-01 00:18:00+00:00,2025-04-01 02:18:00+02:00,3145.025,3145.485,3144.555,3145.415,0.0
