time_utc,time_berlin,open,high,low,close,volume
2025-07-01 00:00:00+00:00,2025-07-01 02:00:00+02:00,3320.815,3320.948,3320.455,3320.548,0.0
2025-07-01 00:01:00+00:00,2025-07-01 02:01:00+02:00,3320.548,3320.848,3320.348,3320.848,0.0
2025-07-01 00:02:00+00:00,2025-07-01 02:02:00+02:00,3320.848,3321.548,3320.498,3320.798,0.0
2025-07-01 00:03:00+00:00,2025-07-01 02:03:00+02:00,3320.715,3321.048,3320.398,3320.795,0.0
2025-07-01 00:04:00+00:00,2025-07-01 02:04:00+02:00,3320.765,3320.985,3320.355,3320.355,0.0
2025-07-01 00:05:00+00:00,2025-07-01 02:05:00+02:00,3320.385,3320.468,3319.655,3319.975,0.0
2025-07-01 00:06:00+00:00,2025-07-01 02:06:00+02:00,3319.925,3320.065,3319.448,3319.705,0.0
2025-07-01 00:07:00+00:00,2025-07-01 02:07:00+02:00,3319.745,3319.755,3318.648,3318.795,0.0
2025-07-01 00:08:00+00:00,2025-07-01 02:08:00+02:00,3318.765,3319.148,3318.748,3318.955,0.0
2025-07-01 00:09:00+00:00,2025-07-01 02:09:00+02:00,3319.015,3319.165,3318.945,3319.035,0.0
2025-07-01 00:10:00+00:00,2025-07-01 02:10:00+02:00,3319.055,3320.055,3318.985,3319.985,0.0
2025-07-01 00:11:00+00:00,2025-07-01 02:11:00+02:00,3320.605,3321.005,3320.605,3320.775,0.0
2025-07-01 00:12:00+00:00,2025-07-01 02:12:00+02:00,3320.848,3322.025,3320.825,3321.985,0.0
2025-07-01 00:13:00+00:00,2025-07-01 02:13:00+02:00,3321.985,3322.105,3320.948,3321.255,0.0
2025-07-01 00:14:00+00:00,2025-07-01 02:14:00+02:00,3321.255,3322.355,3321.215,3321.215,0.0
2025-07-01 00:15:00+00:00,2025-07-01 02:15:00+02:00,3321.165,3321.685,3320.975,3321.195,0.0
2025-07-01 00:16:00+00:00,2025-07-01 02:16:00+02:00,3321.205,3321.755,3321.205,3321.725,0.0
2025-07-01 00:17:00+00:00,2025-07-01 02:17:00+02:00,3321.798,3322.015,3321.615,3321.815,0.0
2025-07-01 00:18:00+00:00,2025-07-01 02:18:00+02:00,3321.825,3321.898,3321.605,3321.898,0.0
2025-07-01 00:19:00+00:00,2025-07-01 02:19:00+02:00,3321.998,3322.898,3321.898,3322.735,0.0
2025-07-01 00:20:00+00:00,2025-07-01 02:20:00+02:00,3322.715,3322.815,3322.155,3322.325,0.0
2025-07-01 00:21:00+00:00,2025-07-01 02:21:00+02:00,3322.395,3322.598,3322.325,3322.398,0.0
2025-07-01 00:22:00+00:00,2025-07-01 02:22:00+02:00,3322.498,3322.698,3322.398,3322.598,0.0
2025-07-01 00:23:00+00:00,2025-07-01 02:23:00+02:00,3322.498,3322.848,3322.148,3322.298,0.0
2025-07-01 00:24:00+00:00,2025-07-01 02:24:00+02:00,3322.298,3322.798,3322.298,3322.648,0.0
2025-07-01 00:25:00+00:00,2025-07-01 02:25:00+02:00,3322.648,3322.789,3322.448,3322.498,0.0
2025-07-01 00:26:00+00:00,2025-07-01 02:26:00+02:00,3322.498,3322.698,3322.398,3322.598,0.0
2025-07-01 00:27:00+00:00,2025-07-01 02:27:00+02:00,3322.505,3322.575,3322.175,3322.425,0.0
2025-07-01 00:28:00+00:00,2025-07-01 02:28:00+02:00,3322.445,3322.875,3322.045,3322.775,0.0
2025-07-01 00:29:00+00:00,2025-07-01 02:29:00+02:00,3322.745,3322.845,3322.498,3322.525,0.0
2025-07-01 00:30:00+00:00,2025-07-01 02:30:00+02:00,3322.498,3322.665,3322.345,3322.455,0.0
2025-07-01 00:31:00+00:00,2025-07-01 02:31:00+02:00,3322.435,3322.575,3322.275,3322.425,0.0
