time_utc,time_berlin,open,high,low,close,volume
2025-02-02 18:03:00+00:00,2025-02-02 19:03:00+01:00,2793.987,2793.987,2793.987,2793.987,0.0
2025-02-02 18:04:00+00:00,2025-02-02 19:04:00+01:00,2798.698,2801.748,2798.698,2801.448,0.0
2025-02-02 18:05:00+00:00,2025-02-02 19:05:00+01:00,2800.758,2802.248,2797.248,2798.918,0.0
2025-02-02 18:06:00+00:00,2025-02-02 19:06:00+01:00,2798.588,2800.048,2796.878,2798.648,0.0
2025-02-02 18:07:00+00:00,2025-02-02 19:07:00+01:00,2798.648,2800.748,2796.388,2798.048,0.0
2025-02-02 18:08:00+00:00,2025-02-02 19:08:00+01:00,2798.248,2801.748,2797.178,2801.748,0.0
2025-02-02 18:09:00+00:00,2025-02-02 19:09:00+01:00,2801.648,2802.548,2796.728,2800.848,0.0
2025-02-02 18:10:00+00:00,2025-02-02 19:10:00+01:00,2799.788,2803.148,2797.348,2799.655,0.0
2025-02-02 18:11:00+00:00,2025-02-02 19:11:00+01:00,2799.795,2802.705,2797.498,2802.705,0.0
2025-02-02 18:12:00+00:00,2025-02-02 19:12:00+01:00,2802.623,2802.71,2798.938,2801.048,0.0
2025-02-02 18:13:00+00:00,2025-02-02 19:13:00+01:00,2800.948,2802.425,2800.175,2800.748,0.0
2025-02-02 18:14:00+00:00,2025-02-02 19:14:00+01:00,2800.548,2803.105,2800.165,2801.448,0.0
2025-02-02 18:15:00+00:00,2025-02-02 19:15:00+01:00,2801.348,2801.348,2797.918,2800.405,0.0
2025-02-02 18:16:00+00:00,2025-02-02 19:16:00+01:00,2800.425,2800.915,2798.488,2800.825,0.0
2025-02-02 18:17:00+00:00,2025-02-02 19:17:00+01:00,2800.815,2801.148,2799.458,2801.148,0.0
2025-02-02 18:18:00+00:00,2025-02-02 19:18:00+01:00,2801.148,2802.048,2798.515,2799.348,0.0
2025-02-02 18:19:00+00:00,2025-02-02 19:19:00+01:00,2799.375,2799.595,2798.345,2799.545,0.0
2025-02-02 18:20:00+00:00,2025-02-02 19:20:00+01:00,2799.005,2799.348,2796.788,2796.788,0.0
2025-02-02 18:21:00+00:00,2025-02-02 19:21:00+01:00,2796.788,2796.888,2792.978,2793.658,0.0
2025-02-02 18:22:00+00:00,2025-02-02 19:22:00+01:00,2793.658,2795.233,2790.478,2793.565,0.0
2025-02-02 18:23:00+00:00,2025-02-02 19:23:00+01:00,2793.535,2794.158,2791.848,2792.035,0.0
2025-02-02 18:24:00+00:00,2025-02-02 19:24:00+01:00,2792.135,2792.595,2789.008,2791.875,0.0
2025-02-02 18:25:00+00:00,2025-02-02 19:25:00+01:00,2791.875,2791.875,2787.485,2788.158,0.0
2025-02-02 18:26:00+00:00,2025-02-02 19:26:00+01:00,2788.078,2791.065,2787.748,2789.148,0.0
2025-02-02 18:27:00+00:00,2025-02-02 19:27:00+01:00,2789.248,2792.373,2786.948,2787.248,0.0
2025-02-02 18:28:00+00:00,2025-02-02 19:28:00+01:00,2787.248,2792.605,2787.248,2792.405,0.0
2025-02-02 18:29:00+00:00,2025-02-02 19:29:00+01:00,2792.375,2792.785,2790.045,2791.225,0.0
2025-02-02 18:30:00+00:00,2025-02-02 19:30:00+01:00,2791.325,2791.325,2787.815,2788.315,0.0
2025-02-02 18:31:00+00:00,2025-02-02 19:31:00+01:00,2788.315,2789.495,2787.875,2788.495,0.0
2025-02-02 18:32:00+00:00,2025-02-02 19:32:00+01:00,2788.505,2789.97,2785.475,2789.085,0.0
2025-02-02 18:33:00+00:00,2025-02-02 19:33:00+01:00,2788.785,2790.175,2785.165,2786.605,0.0
2025-02-02 18:34:00+00:00,2025-02-02 19:34:00+01:00,2786.575,2789.475,2786.355,2788.865,0.0
2025-02-02 18:35:00+00:00,2025-02-02 19:35:00+01:00,2788.685,2789.848,2788.228,2789.718,0.0
2025-02-02 18:36:00+00:00,2025-02-02 19:36:00+01:00,2789.548,2789.628,2785.865,2787.518,0.0
2025-02-02 18:37:00+00:00,2025-02-02 19:37:00+01:00,2787.488,2788.145,2785.425,2787.348,0.0
2025-02-02 18:38:00+00:00,2025-02-02 19:38:00+01:00,2787.348,2788.048,2782.548,2785.048,0.0
2025-02-02 18:39:00+00:00,2025-02-02 19:39:00+01:00,2784.848,2786.148,2784.648,2784.955,0.0
2025-02-02 18:40:00+00:00,2025-02-02 19:40:00+01:00,2784.948,2791.848,2784.795,2791.248,0.0
2025-02-02 18:41:00+00:00,2025-02-02 19:41:00+01:00,2791.248,2792.748,2790.705,2792.748,0.0
2025-02-02 18:42:00+00:00,2025-02-02 19:42:00+01:00,2792.548,2792.848,2790.498,2791.315,0.0
2025-02-02 18:43:00+00:00,2025-02-02 19:43:00+01:00,2791.455,2791.715,2789.748,2789.748,0.0
2025-02-02 18:44:00+00:00,2025-02-02 19:44:00+01:00,2789.508,2791.605,2788.738,2791.605,0.0
2025-02-02 18:45:00+00:00,2025-02-02 19:45:00+01:00,2791.428,2791.685,2790.368,2790.975,0.0
2025-02-02 18:46:00+00:00,2025-02-02 19:46:00+01:00,2790.975,2791.875,2790.508,2790.508,0.0
2025-02-02 18:47:00+00:00,2025-02-02 19:47:00+01:00,2790.508,2791.635,2790.225,2791.255,0.0
2025-02-02 18:48:00+00:00,2025-02-02 19:48:00+01:00,2791.255,2791.275,2788.148,2790.965,0.0
2025-02-02 18:49:00+00:00,2025-02-02 19:49:00+01:00,2790.935,2792.155,2789.948,2792.155,0.0
2025-02-02 18:50:00+00:00,2025-02-02 19:50:00+01:00,2792.145,2792.355,2791.528,2791.755,0.0
2025-02-02 18:51:00+00:00,2025-02-02 19:51:00+01:00,2791.755,2791.945,2791.298,2791.765,0.0
2025-02-02 18:52:00+00:00,2025-02-02 19:52:00+01:00,2791.765,2792.555,2791.755,2792.455,0.0
2025-02-02 18:53:00+00:00,2025-02-02 19:53:00+01:00,2792.535,2794.048,2792.348,2793.748,0.0
2025-02-02 18:54:00+00:00,2025-02-02 19:54:00+01:00,2793.748,2793.948,2790.648,2792.808,0.0
2025-02-02 18:55:00+00:00,2025-02-02 19:55:00+01:00,2792.868,2793.168,2790.648,2790.648,0.0
2025-02-02 18:56:00+00:00,2025-02-02 19:56:00+01:00,2790.918,2793.185,2790.648,2792.605,0.0
2025-02-02 18:57:00+00:00,2025-02-02 19:57:00+01:00,2792.615,2792.875,2791.438,2791.438,0.0
2025-02-02 18:58:00+00:00,2025-02-02 19:58:00+01:00,2792.585,2793.965,2792.565,2793.605,0.0
2025-02-02 18:59:00+00:00,2025-02-02 19:59:00+01:00,2793.605,2793.875,2791.178,2792.545,0.0
2025-02-02 19:00:00+00:00,2025-02-02 20:00:00+01:00,2792.108,2793.258,2791.368,2792.728,0.0
2025-02-02 19:01:00+00:00,2025-02-02 20:01:00+01:00,2792.898,2793.638,2792.395,2792.885,0.0
2025-02-02 19:02:00+00:00,2025-02-02 20:02:00+01:00,2792.855,2793.518,2792.148,2792.388,0.0
2025-02-02 19:03:00+00:00,2025-02-02 20:03:00+01:00,2792.388,2793.838,2791.718,2793.088,0.0
2025-02-02 19:04:00+00:00,2025-02-02 20:04:00+01:00,2793.048,2793.208,2791.678,2792.128,0.0
2025-02-02 19:05:00+00:00,2025-02-02 20:05:00+01:00,2792.058,2794.548,2792.058,2794.448,0.0
2025-02-02 19:06:00+00:00,2025-02-02 20:06:00+01:00,2794.448,2795.055,2793.348,2794.295,0.0
2025-02-02 19:07:00+00:00,2025-02-02 20:07:00+01:00,2794.295,2794.315,2792.048,2792.448,0.0
2025-02-02 19:08:00+00:00,2025-02-02 20:08:00+01:00,2792.448,2793.248,2790.848,2792.748,0.0
2025-02-02 19:09:00+00:00,2025-02-02 20:09:00+01:00,2792.748,2793.148,2791.708,2792.348,0.0
2025-02-02 19:10:00+00:00,2025-02-02 20:10:00+01:00,2792.248,2792.448,2791.318,2791.648,0.0
2025-02-02 19:11:00+00:00,2025-02-02 20:11:00+01:00,2791.748,2791.748,2790.508,2790.668,0.0
2025-02-02 19:12:00+00:00,2025-02-02 20:12:00+01:00,2790.738,2793.185,2790.678,2792.775,0.0
2025-02-02 19:13:00+00:00,2025-02-02 20:13:00+01:00,2792.945,2793.085,2792.395,2792.415,0.0
2025-02-02 19:14:00+00:00,2025-02-02 20:14:00+01:00,2792.415,2794.038,2792.415,2793.368,0.0
2025-02-02 19:15:00+00:00,2025-02-02 20:15:00+01:00,2793.348,2794.238,2792.995,2794.115,0.0
2025-02-02 19:16:00+00:00,2025-02-02 20:16:00+01:00,2794.095,2794.868,2792.838,2794.425,0.0
