time_utc,time_berlin,open,high,low,close,volume
2025-05-01 00:00:00+00:00,2025-05-01 02:00:00+02:00,3229.035,3230.175,3228.975,3229.895,0.0
2025-05-01 00:01:00+00:00,2025-05-01 02:01:00+02:00,3229.935,3231.065,3228.625,3228.765,0.0
2025-05-01 00:02:00+00:00,2025-05-01 02:02:00+02:00,3228.765,3228.785,3225.515,3225.515,0.0
2025-05-01 00:03:00+00:00,2025-05-01 02:03:00+02:00,3225.475,3229.575,3224.785,3228.265,0.0
2025-05-01 00:04:00+00:00,2025-05-01 02:04:00+02:00,3228.235,3229.355,3227.225,3228.955,0.0
2025-05-01 00:05:00+00:00,2025-05-01 02:05:00+02:00,3228.995,3230.145,3228.005,3229.205,0.0
2025-05-01 00:06:00+00:00,2025-05-01 02:06:00+02:00,3229.335,3229.335,3226.665,3226.885,0.0
2025-05-01 00:07:00+00:00,2025-05-01 02:07:00+02:00,3226.895,3228.075,3225.785,3228.015,0.0
2025-05-01 00:08:00+00:00,2025-05-01 02:08:00+02:00,3228.075,3228.455,3227.075,3228.385,0.0
2025-05-01 00:09:00+00:00,2025-05-01 02:09:00+02:00,3228.365,3228.475,3227.205,3227.685,0.0
2025-05-01 00:10:00+00:00,2025-05-01 02:10:00+02:00,3227.685,3229.085,3227.615,3228.415,0.0
2025-05-01 00:11:00+00:00,2025-05-01 02:11:00+02:00,3228.415,3229.485,3228.295,3229.275,0.0
2025-05-01 00:12:00+00:00,2025-05-01 02:12:00+02:00,3229.275,3229.875,3228.315,3228.895,0.0
2025-05-01 00:13:00+00:00,2025-05-01 02:13:00+02:00,3229.175,3229.325,3227.585,3227.805,0.0
2025-05-01 00:14:00+00:00,2025-05-01 02:14:00+02:00,3227.825,3228.175,3226.755,3228.035,0.0
2025-05-01 00:15:00+00:00,2025-05-01 02:15:00+02:00,3228.015,3228.015,3225.355,3226.435,0.0
2025-05-01 00:16:00+00:00,2025-05-01 02:16:00+02:00,3226.645,3226.665,3226.005,3226.275,0.0
2025-05-01 00:17:00+00:00,2025-05-01 02:17:00+02:00,3226.275,3226.965,3225.875,3226.075,0.0
2025-05-01 00:18:00+00:00,2025-05-01 02:18:00+02:00,3226.165,3226.665,3226.005,3226.355,0.0
2025-05-01 00:19:00+00:00,2025-05-01 02:19:00+02:00,3226.315,3226.765,3225.495,3225.615,0.0
2025-05-01 00:20:00+00:00,2025-05-01 02:20:00+02:00,3225.485,3226.605,3223.115,3225.965,0.0
2025-05-01 00:21:00+00:00,2025-05-01 02:21:00+02:00,3226.015,3227.775,3224.145,3227.105,0.0
