signal_time,direction,entry_mid,balance_before,exit_time,exit_reason,tp1_hit,tp2_hit,tp3_hit,tp4_hit,filled,entry_price_used,trigger_price,lot_main,lot_runner,lot_extra,pnl,swap_cost,commission,slippage_spread,total_cost,balance_after
2015-01-01 19:00:00+00:00,BUY,1186.73,1000.0,2015-01-02 06:14:00+00:00,sl,False,False,False,False,True,1187.25,1187.17,0.0,0.0,0.05,-33.93981153685881,0.0,0.55,0.5,1.05,966.0601884631412
2015-01-02 00:30:00+00:00,SELL,1184.775,966.0601884631412,,,,,,,False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0601884631412
2015-01-05 00:30:00+00:00,BUY,1191.755,966.0601884631412,2015-01-05 15:18:00+00:00,tp3,False,False,True,False,True,1193.39,1191.98875,0.0,0.0,0.04,46.828309575366944,0.0,0.44,0.4000000000000001,0.8400000000000001,1012.8884980385081
2015-01-06 00:30:00+00:00,BUY,1206.455,1012.8884980385081,2015-01-06 04:15:00+00:00,tp3,False,False,True,False,True,1206.9,1206.88125,0.0,0.0,0.08,51.46919746358646,0.0,0.88,0.8000000000000002,1.6800000000000002,1064.3576955020947
2015-01-07 00:30:00+00:00,BUY,1214.15,1064.3576955020947,2015-01-07 08:15:00+00:00,sl,False,False,False,False,True,1214.73,1214.689,0.0,0.0,0.07,-33.02600000000027,0.0,0.77,0.7000000000000002,1.4700000000000002,1031.3316955020944
2015-01-08 00:30:00+00:00,SELL,1207.575,1031.3316955020944,2015-01-08 08:33:00+00:00,sl,False,False,False,False,True,1207.32,1207.11575,0.0,0.0,0.07,-30.607051032750153,0.0,0.77,0.7000000000000002,1.4700000000000002,1000.7246444693442
2015-01-09 00:30:00+00:00,BUY,1211.5500000000002,1000.7246444693442,2015-01-09 08:30:00+00:00,tp3,False,False,True,False,True,1212.08,1211.7315,0.0,0.0,0.1,49.52211487532659,0.0,1.1,1.0,2.1,1050.2467593446709
2015-01-12 00:30:00+00:00,BUY,1225.265,1050.2467593446709,2015-01-12 03:28:00+00:00,sl,False,False,False,False,True,1226.55,1225.8837500000002,0.0,0.0,0.06,-33.80041279303328,0.0,0.6599999999999999,0.5999999999999999,1.2599999999999998,1016.4463465516376
2015-01-13 00:30:00+00:00,BUY,1234.9499999999998,1016.4463465516376,2015-01-13 10:05:00+00:00,sl,False,False,False,False,True,1236.63,1235.1589999999999,0.0,0.0,0.07,-32.62646022983697,0.0,0.77,0.7000000000000002,1.4700000000000002,983.8198863218006
2015-01-14 00:30:00+00:00,SELL,1229.085,983.8198863218006,2015-01-14 08:30:00+00:00,sl,False,False,False,False,True,1228.67,1228.75225,0.0,0.0,0.06,-33.24288088756544,0.0,0.6599999999999999,0.5999999999999999,1.2599999999999998,950.5770054342352
2015-01-15 00:30:00+00:00,SELL,1230.645,950.5770054342352,2015-01-15 04:48:00+00:00,sl,False,False,False,False,True,1230.23,1230.52675,0.0,0.0,0.08,-31.238508351416094,0.0,0.88,0.8000000000000002,1.6800000000000002,919.3384970828191
2015-01-16 00:30:00+00:00,BUY,1259.27,919.3384970828191,2015-01-16 03:30:00+00:00,sl,False,False,False,False,True,1259.82,1259.5725,0.0,0.0,0.06,-29.1292151995383,0.0,0.6599999999999999,0.5999999999999999,1.2599999999999998,890.2092818832808
2015-01-19 00:30:00+00:00,BUY,1276.175,890.2092818832808,2015-01-20 03:51:00+00:00,tp3,False,False,True,False,True,1276.89,1276.64525,0.0,0.0,0.04,48.773972781041685,-0.204,0.44,0.4000000000000001,0.8400000000000001,938.9832546643225
2015-01-20 00:30:00+00:00,BUY,1276.5749999999998,938.9832546643225,2015-01-20 03:34:00+00:00,tp3,False,False,True,False,True,1276.75,1276.72075,0.0,0.0,0.1,47.987886356025136,0.0,1.1,1.0,2.1,986.9711410203477
2015-01-21 00:30:00+00:00,BUY,1297.885,986.9711410203477,2015-01-21 09:51:00+00:00,sl,False,False,False,False,True,1299.25,1298.44325,0.0,0.0,0.05,-28.629664105210214,0.0,0.55,0.5,1.05,958.3414769151375
2015-01-22 01:00:00+00:00,SELL,1291.43,958.3414769151375,2015-01-22 07:21:00+00:00,tp3,False,False,True,False,True,1290.83,1291.0120000000002,0.0,0.0,0.07,48.038546251003744,0.0,0.77,0.7000000000000002,1.4700000000000002,1006.3800231661412
2015-01-23 00:30:00+00:00,BUY,1296.875,1006.3800231661412,2015-01-23 01:09:00+00:00,sl,False,False,False,False,True,1297.22,1297.15825,0.0,0.0,0.09,-33.130074543961555,0.0,0.99,0.8999999999999999,1.89,973.2499486221797
2015-01-26 00:30:00+00:00,SELL,1294.025,973.2499486221797,2015-01-26 03:46:00+00:00,tp3,False,False,True,False,True,1293.72,1293.7472500000001,0.0,0.0,0.06,48.25824030043645,0.0,0.6599999999999999,0.5999999999999999,1.2599999999999998,1021.5081889226161
2015-01-27 00:30:00+00:00,SELL,1278.035,1021.5081889226161,2015-01-27 01:53:00+00:00,sl,False,False,False,False,True,1277.6,1277.77925,0.0,0.0,0.07,-31.81815466275791,0.0,0.77,0.7000000000000002,1.4700000000000002,989.6900342598582
2015-01-28 00:30:00+00:00,BUY,1289.795,989.6900342598582,2015-01-28 02:32:00+00:00,sl,False,False,False,False,True,1290.61,1290.00675,0.0,0.0,0.09,-30.920672177251745,0.0,0.99,0.8999999999999999,1.89,958.7693620826064
2015-01-29 00:30:00+00:00,SELL,1281.9250000000002,958.7693620826064,2015-01-29 04:46:00+00:00,tp3,False,False,True,False,True,1281.36,1281.6472500000002,0.0,0.0,0.06,49.518223601044376,0.0,0.6599999999999999,0.5999999999999999,1.2599999999999998,1008.2875856836508
2015-01-30 00:30:00+00:00,SELL,1260.655,1008.2875856836508,2015-01-30 04:08:00+00:00,sl,False,False,False,False,True,1260.35,1260.33875,0.0,0.0,0.08,-33.57939072529887,0.0,0.88,0.8000000000000002,1.6800000000000002,974.708194958352
2015-02-02 00:30:00+00:00,BUY,1280.845,974.708194958352,2015-02-02 04:19:00+00:00,sl,False,False,False,False,True,1281.09,1281.08425,0.0,0.0,0.05,-32.22143224220058,0.0,0.55,0.5,1.05,942.4867627161515
2015-02-03 00:30:00+00:00,BUY,1274.08,942.4867627161515,2015-02-03 02:50:00+00:00,tp3,False,False,True,False,True,1275.03,1274.3935000000001,0.0,0.0,0.08,50.701338723938825,0.0,0.88,0.8000000000000002,1.6800000000000002,993.1881014400903
2015-02-04 00:30:00+00:00,SELL,1263.915,993.1881014400903,2015-02-04 05:28:00+00:00,sl,False,False,False,False,True,1262.84,1263.54375,0.0,0.0,0.07,-31.61665427765681,0.0,0.77,0.7000000000000002,1.4700000000000002,961.5714471624335
2015-02-05 00:30:00+00:00,BUY,1271.19,961.5714471624335,2015-02-05 03:00:00+00:00,sl,False,False,False,False,True,1271.8,1271.421,0.0,0.0,0.08,-31.737319649731653,0.0,0.88,0.8000000000000002,1.6800000000000002,929.8341275127019
