signal_time,direction,entry_mid,balance_before,exit_time,exit_reason,tp1_hit,tp2_hit,filled,lot_main,lot_runner,pnl,balance_after
2019-01-02 10:15:00,BUY,1283.4515,1000.0,2019-01-02 15:21:00,force_close,False,False,True,0.25,0.125,-180.87750000000585,819.1224999999941
2019-01-08 01:00:00,SELL,1282.953,819.1224999999941,2019-01-08 01:35:00,tp2,True,True,True,0.25,0.125,19.81949999999368,838.9419999999878
2019-01-10 17:45:00,BUY,1286.1915,838.9419999999878,2019-01-10 19:06:00,tp2,True,True,True,0.25,0.125,20.036849999990622,858.9788499999785
2019-01-11 02:15:00,SELL,1293.4415,858.9788499999785,2019-01-11 02:45:00,tp2,True,True,True,0.25,0.125,40.32285000000637,899.3016999999849
2019-01-14 17:45:00,BUY,1291.5300000000002,899.3016999999849,2019-01-14 20:43:00,sl,False,False,True,0.25,0.125,-50.077499999995226,849.2241999999897
2019-01-30 17:45:00,BUY,1319.395,849.2241999999897,2019-01-30 21:01:00,sl,False,False,True,0.25,0.125,-64.73999999999809,784.4841999999916
2019-02-01 10:15:00,BUY,1320.998,784.4841999999916,2019-02-01 10:45:00,be,True,False,True,0.25,0.125,34.89600000000006,819.3801999999916
2019-02-08 08:45:00,BUY,1313.0515,819.3801999999916,2019-02-08 09:35:00,tp2,True,True,True,0.25,0.125,38.873849999989815,858.2540499999815
2019-02-14 09:15:00,BUY,1304.96,858.2540499999815,2019-02-14 09:30:00,tp2,True,True,True,0.25,0.125,89.37150000000098,947.6255499999825
2019-02-19 17:45:00,SELL,1340.9165,947.6255499999825,2019-02-19 20:16:00,tp2,True,True,True,0.25,0.125,48.29234999999936,995.9178999999818
2019-02-20 17:45:00,BUY,1338.27,995.9178999999818,2019-02-20 19:21:00,tp2,True,True,True,0.25,0.125,34.30950000000006,1030.2273999999818
2019-02-21 17:45:00,BUY,1323.1864999999998,1030.2273999999818,2019-02-21 19:18:00,tp2,True,True,True,0.5,0.25,75.4293000000009,1105.6566999999827
